ProductName,ProductStock,ProductBasePrice,ProductSalePrice,ProductCategory,ProductImgURL
DeepCool DP-MCH4-GMX-GT-ARGB GAMMAXX GT A-RGB 120mm Tower CPU Air Cooler,In stock with Wootware,799,699,CPU Coolers,https://www.wootware.co.za/media/catalog/product/cache/1/image/512x512/9df78eab33525d08d6e5fb8d27136e95/d/p/dp-mch4-gmx-gt-argb_1_.jpg
"ASUS VG35VQ TUF Gaming 35"" Ultra Wide QHD (3440x1440) 100Hz VA 1ms MPRT HDR10 Adaptive-Sync 1800R Curved Gaming Desktop Monitor",In stock with Wootware,"R15,299.00","R9,599.00",Monitors,https://www.wootware.co.za/media/catalog/product/cache/1/image/512x512/9df78eab33525d08d6e5fb8d27136e95/a/s/asus-tuf-gaming-vg35vq-35-wqhd-_3440x1440_-01.jpg
XFX Radeon RX 6650 XT Black SPEEDSTER MERC 308 RX-665X8TBDY 8GB GDDR6 128-bit PCIe 4.0 Desktop Graphics Card,In stock with Wootware,"R7,999.00","R6,999.00",GPUs,https://www.wootware.co.za/media/catalog/product/cache/1/image/512x512/9df78eab33525d08d6e5fb8d27136e95/m/e/merc308_6650xt_black_8_.jpg
Sabrent SB-ROCKET-NVMe4-1TB ROCKET 1TB M.2 (2280) NVMe PCI-E 4.0 Solid State Drive,In stock with Wootware,"R2,079.00","R1,699.00",SSDs,https://www.wootware.co.za/media/catalog/product/cache/1/image/512x512/9df78eab33525d08d6e5fb8d27136e95/s/b/sb-rocket-nvme4-1tb-main.jpg
Phanteks PH-CB-CMBO_BK 500mm Black Universal Extension Cable Kit,In stock with Wootware,699,479,Other,https://www.wootware.co.za/media/catalog/product/cache/1/image/512x512/9df78eab33525d08d6e5fb8d27136e95/a/3/a3b4b9f07802807fa4d73d46c9f4626f_main_.jpg
EVGA 220-G6-0750-X3 SuperNOVA 750 G6 750W 80 Plus Gold Fully Modular Black Desktop Power Supply,Stock Coming Soon,"R2,199.00","R1,999.00",PSUs,https://www.wootware.co.za/media/catalog/product/cache/1/image/512x512/9df78eab33525d08d6e5fb8d27136e95/2/2/220_g6_0750_x3_xl_1-hrdulvhs.jpg
AMD 100-100000593WOF Ryzen 5 7600X 5.30GHz 6-Core Zen 4 Socket AM5 Desktop CPU - Cooler Not Included,In stock with Wootware,"R6,349.00","R5,299.00",CPUs,https://www.wootware.co.za/media/catalog/product/cache/1/image/512x512/9df78eab33525d08d6e5fb8d27136e95/a/m/amd-r5-7000-3dpibwof-01.jpg
Gigabyte GB-C200G C200 Tempered Glass Black Steel ATX Mid Tower Desktop Chassis,In stock with Wootware,"R1,299.00",999,Chassis,https://www.wootware.co.za/media/catalog/product/cache/1/image/512x512/9df78eab33525d08d6e5fb8d27136e95/g/i/gigabyte-gb-c200g-c200-001.jpg
Super Flower SF-650F14MT(BK) Leadex 650W 80 Plus Silver Certified Fully Modular Black Desktop Power Supply,In stock with Wootware,"R2,799.00","R1,399.00",PSUs,https://www.wootware.co.za/media/catalog/product/cache/1/image/512x512/9df78eab33525d08d6e5fb8d27136e95/3/2/3272823_1.jpg
Phanteks PH-EC400ATG_DBK01 Eclipse P400A Digital RGB Tempered Glass Satin Black Steel ATX Mid Tower Desktop Chassis,Stock Coming Soon,"R2,379.00","R1,679.00",Chassis,https://www.wootware.co.za/media/catalog/product/cache/1/image/512x512/9df78eab33525d08d6e5fb8d27136e95/p/4/p400a-digital-rgb-black_1_.jpg
