ProductName,ProductStock,ProductDescription,ProductBasePrice,ProductSalePrice,ImageURL,Cat,Image-src,Date
"Mushkin MKNSSDEL1TB Element 1TB 2.5"" SATA 3.0 6Gb/s Solid State Drive",In stock with Wootware,In stock with Wootware,"R1,599.00","R1,079.00",https://www.wootware.co.za/mushkin-mknssdel1tb-element-1tb-2-5-sata-3-0-6gb-s-solid-state-drive.html,SSDs,https://www.wootware.co.za/media/catalog/product/cache/1/image/512x512/9df78eab33525d08d6e5fb8d27136e95/m/u/mushkin-elementsata-1tb-01.jpg,"2015, 12, 25, 0, 0, 0, 0"
Fractal Design FD-C-POR1M-01 Pop Mini Air RGB White Tempered Glass Clear Tint Steel Micro-ATX Mid Tower Desktop Chassis,Stock Coming Soon,Stock Coming Soon,"R1,949.00","R1,629.00",https://www.wootware.co.za/fractal-design-fd-c-por1m-01-pop-mini-air-rgb-white-tempered-glass-clear-tint-steel-micro-atx-mid-tower-desktop-chassis.html,Chassis,https://www.wootware.co.za/media/catalog/product/cache/1/image/512x512/9df78eab33525d08d6e5fb8d27136e95/p/o/pop_mini_air_rgb_white_tgc_1_front_left-bosgslhs.jpg,"2015, 12, 25, 0, 0, 0, 0"
Palit GeForce RTX 3060 Dual NE63060019K9-190AD 12GB GDDR6 192-bit PCI-E 4.0 Desktop Graphics Card (Lite Hash Rate),In stock with Wootware,In stock with Wootware,"R10,699.00","R6,999.00",https://www.wootware.co.za/palit-geforce-rtx-3060-dual-ne63060019k9-190ad-12gb-gddr6-192-bit-pci-e-4-0-desktop-graphics-card.html,GPUs,https://www.wootware.co.za/media/catalog/product/cache/1/image/512x512/9df78eab33525d08d6e5fb8d27136e95/p/a/palit-rtx-3060-dual-01.jpg,"2015, 12, 25, 0, 0, 0, 0"
Magnium Gear MG-NE620Q_DWT02 Neo Qube 2 White Tempered Glass Steel E-ATX Mid Tower Desktop Chassis,Stock Coming Soon,Stock Coming Soon,"R2,779.00","R2,199.00",https://www.wootware.co.za/magnium-gear-mg-ne620q-dwt02-neo-qube-2-white-tempered-glass-steel-e-atx-mid-tower-desktop-chassis.html,Chassis,https://www.wootware.co.za/media/catalog/product/cache/1/image/512x512/9df78eab33525d08d6e5fb8d27136e95/m/g/mg_ne620q_bw_2-ybxicohs_1.jpg,"2015, 12, 25, 0, 0, 0, 0"
Western Digital WDS500G3B0C WD Blue SN570 500GB M.2 2280 NVMe PCIe 3.0 Solid State Drive,In stock with Supplier,In stock with Supplier,"R1,099.00",R899.00,https://www.wootware.co.za/western-digital-wds500g3b0c-wd-blue-sn570-500gb-m-2-2280-nvme-pcie-3-0-solid-state-drive.html,SSDs,https://www.wootware.co.za/media/catalog/product/cache/1/image/512x512/9df78eab33525d08d6e5fb8d27136e95/w/d/wd_blue_sn570_500gb_01-3ndw2lgs.jpg,"2015, 12, 25, 0, 0, 0, 0"
Fractal Design FD-C-MEL2A-03 Meshify 2 Lite Tempered Glass Light Tint Black Steel ATX Mid Tower Desktop Chassis,Stock Coming Soon,Stock Coming Soon,"R2,849.00","R2,279.00",https://www.wootware.co.za/fractal-design-fd-c-mel2a-03-meshify-2-lite-tempered-glass-light-tint-black-steel-atx-mid-tower-desktop-chassis.html,Chassis,https://www.wootware.co.za/media/catalog/product/cache/1/image/512x512/9df78eab33525d08d6e5fb8d27136e95/m/e/meshify_2_lite_black_tgl_1_left_front-rdcbhbhs.jpg,"2015, 12, 25, 0, 0, 0, 0"
DeepCool DP-MCH4-GMX-GT-ARGB GAMMAXX GT A-RGB 120mm Tower CPU Air Cooler,In stock with Wootware,In stock with Wootware,R799.00,R699.00,https://www.wootware.co.za/deepcool-dp-mch4-gmx-gt-argb-gammaxx-gt-a-rgb-120mm-tower-cpu-air-cooler.html,CPU Coolers,https://www.wootware.co.za/media/catalog/product/cache/1/image/512x512/9df78eab33525d08d6e5fb8d27136e95/d/p/dp-mch4-gmx-gt-argb_1_.jpg,"2015, 12, 25, 0, 0, 0, 0"
"ASUS VG35VQ TUF Gaming 35"" Ultra Wide QHD (3440x1440) 100Hz VA 1ms MPRT HDR10 Adaptive-Sync 1800R Curved Gaming Desktop Monitor",In stock with Wootware,In stock with Wootware,"R15,299.00","R9,599.00",https://www.wootware.co.za/asus-tuf-gaming-vg35vq-35-wqhd-3440x1440-100hz-va-1ms-mprt-hdr10-adaptive-sync-1800r-curved-gaming-desktop-monitor.html,Monitors,https://www.wootware.co.za/media/catalog/product/cache/1/image/512x512/9df78eab33525d08d6e5fb8d27136e95/a/s/asus-tuf-gaming-vg35vq-35-wqhd-_3440x1440_-01.jpg,"2015, 12, 25, 0, 0, 0, 0"
XFX Radeon RX 6650 XT Black SPEEDSTER MERC 308 RX-665X8TBDY 8GB GDDR6 128-bit PCIe 4.0 Desktop Graphics Card,In stock with Wootware,In stock with Wootware,"R7,999.00","R6,999.00",https://www.wootware.co.za/xfx-radeon-rx-6650-xt-black-speedster-merc-308-rx-665x8tbdy-8gb-gddr6-128-bit-pcie-4-0-desktop-graphics-card.html,GPUs,https://www.wootware.co.za/media/catalog/product/cache/1/image/512x512/9df78eab33525d08d6e5fb8d27136e95/m/e/merc308_6650xt_black_8_.jpg,"2015, 12, 25, 0, 0, 0, 0"
Sabrent SB-ROCKET-NVMe4-1TB ROCKET 1TB M.2 (2280) NVMe PCI-E 4.0 Solid State Drive,In stock with Wootware,In stock with Wootware,"R2,079.00","R1,699.00",https://www.wootware.co.za/sabrent-sb-rocket-nvme4-1tb-rocket-1tb-m-2-2280-nvme-pci-e-4-0-solid-state-drive.html,SSDs,https://www.wootware.co.za/media/catalog/product/cache/1/image/512x512/9df78eab33525d08d6e5fb8d27136e95/s/b/sb-rocket-nvme4-1tb-main.jpg,"2015, 12, 25, 0, 0, 0, 0"
